workbook_sheet,class_order_seed,method,dataset,workbook_cells,workbook_A_L,workbook_A_avg,expected_log_filename,protocol,candidate_log_paths,log_A_L,log_A_avg,log_status,workbook_log_comparison
seed0,0,EASE,VTAB,K11:L11,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,BiLoRA,CIFAR100,C12:D12,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,BiLoRA,CUB200,E12:F12,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,BiLoRA,ImageNet-R,G12:H12,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,BiLoRA,OmniBenchmark,I12:J12,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,BiLoRA,VTAB,K12:L12,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SD-LoRA,CIFAR100,C13:D13,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SD-LoRA,CUB200,E13:F13,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SD-LoRA,ImageNet-R,G13:H13,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SD-LoRA,OmniBenchmark,I13:J13,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,SD-LoRA,VTAB,K13:L13,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,CL-LoRA,CIFAR100,C14:D14,86.44,91.01,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),logs/第二轮A800/CL-LoRA/cifar224_vit_base_patch16_224_in21k_cllora_0_10_0.log,86.44,91.01,Complete,Match
seed0,0,CL-LoRA,CUB200,E14:F14,70.74,82.35,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),logs/第二轮A800/CL-LoRA/cub_vit_base_patch16_224_in21k_cllora_0_20_0.log,70.74,82.35,Complete,Match
seed0,0,CL-LoRA,ImageNet-R,G14:H14,81.68,85.98,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),logs/第二轮A800/CL-LoRA/imagenetr_vit_base_patch16_224_cllora_0_40_0.log,81.68,85.98,Complete,Match
seed0,0,CL-LoRA,OmniBenchmark,I14:J14,67.82,77.17,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),logs/第二轮A800/CL-LoRA/omnibenchmark_vit_base_patch16_224_in21k_cllora_0_30_0.log,67.82,77.17,Complete,Match
seed0,0,CL-LoRA,VTAB,K14:L14,61,80.05,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),logs/第二轮A800/CL-LoRA/vtab_vit_base_patch16_224_in21k_cllora_0_10_0.log,61.0,80.05,Complete,Match
seed0,0,iCaRL,CIFAR100,C17:D17,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,iCaRL,CUB200,E17:F17,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,iCaRL,ImageNet-R,G17:H17,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,iCaRL,OmniBenchmark,I17:J17,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,iCaRL,VTAB,K17:L17,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,FOSTER,CIFAR100,C18:D18,,,cifar224|0_10_0.log,T=10; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,FOSTER,CUB200,E18:F18,,,cub|0_20_0.log,T=10; B0/Inc20 (filename _0_20_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,FOSTER,ImageNet-R,G18:H18,,,imagenetr/imagenet_r|0_40_0.log,T=5; B0/Inc40 (filename _0_40_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,FOSTER,OmniBenchmark,I18:J18,,,omnibenchmark|0_30_0.log,T=10; B0/Inc30 (filename _0_30_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed0,0,FOSTER,VTAB,K18:L18,,,vtab|0_10_0.log,T=5; B0/Inc10 (filename _0_10_0),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,Full Fine-Tuning,CIFAR100,C3:D3,63.75,75.83,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/Finetune/cifar224_vit_base_patch16_224_in21k_0_10_42.log,63.75,75.83,Complete,Match
seed42,42,Full Fine-Tuning,CUB200,E3:F3,53.82,70.79,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/Finetune/cub_vit_base_patch16_224_in21k_0_20_42.log,53.82,70.79,Complete,Match
seed42,42,Full Fine-Tuning,ImageNet-R,G3:H3,59.7,71.38,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/Finetune/imagenetr_vit_base_patch16_224_in21k_0_40_42.log,59.7,71.38,Complete,Match
seed42,42,Full Fine-Tuning,OmniBenchmark,I3:J3,47.97,67.03,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/Finetune/omnibenchmark_vit_base_patch16_224_in21k_0_30_42.log,47.97,67.03,Complete,Match
seed42,42,Full Fine-Tuning,VTAB,K3:L3,34.67,66.12,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/Finetune/vtab_vit_base_patch16_224_in21k_0_10_42.log,34.67,66.12,Complete,Match
seed42,42,SimpleCIL,CIFAR100,C4:D4,81.28,85.79,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/SimpleCIL/cifar224_vit_b16_224_in21k_0_10_42.log,81.28,85.79,Complete,Match
seed42,42,SimpleCIL,CUB200,E4:F4,86.77,91.01,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/SimpleCIL/cub_vit_b16_224_in21k_0_20_42.log,86.77,91.01,Complete,Match
seed42,42,SimpleCIL,ImageNet-R,G4:H4,54.35,57.97,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/SimpleCIL/imagenetr_vit_b16_224_in21k_0_40_42.log,54.35,57.97,Complete,Match
seed42,42,SimpleCIL,OmniBenchmark,I4:J4,73.3,81.89,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/SimpleCIL/omnibenchmark_vit_b16_224_in21k_0_30_42.log,73.3,81.89,Complete,Match
seed42,42,SimpleCIL,VTAB,K4:L4,84.45,90.67,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/SimpleCIL/vtab_vit_b16_224_in21k_0_10_42.log,84.45,90.67,Complete,Match
seed42,42,APER,CIFAR100,C5:D5,86.88,90.83,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/adam_adapter/cifar224_vit_b16_224_in21k_adapter_0_10_42.log,86.88,90.83,Complete,Match
seed42,42,APER,CUB200,E5:F5,87.02,91.14,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/adam_adapter/cub_vit_b16_224_in21k_adapter_0_20_42.log,87.02,91.14,Complete,Match
seed42,42,APER,ImageNet-R,G5:H5,68.78,74.6,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/adam_adapter/imagenetr_vit_b16_224_in21k_adapter_0_40_42.log,68.78,74.6,Complete,Match
seed42,42,APER,OmniBenchmark,I5:J5,73.82,82.72,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/adam_adapter/omnibenchmark_vit_b16_224_in21k_adapter_0_30_42.log,73.82,82.72,Complete,Match
seed42,42,APER,VTAB,K5:L5,84.08,90.54,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/adam_adapter/vtab_vit_b16_224_in21k_adapter_0_10_42.log,84.08,90.54,Complete,Match
seed42,42,L2P,CIFAR100,C6:D6,83.58,88.7,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/L2P/cifar224_vit_base_patch16_224_in21k_l2p_0_10_42.log,83.58,88.7,Complete,Match
seed42,42,L2P,CUB200,E6:F6,73.03,79.41,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/L2P/cub_vit_base_patch16_224_in21k_l2p_0_20_42.log,73.03,79.41,Complete,Match
seed42,42,L2P,ImageNet-R,G6:H6,71.47,75.69,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/L2P/imagenetr_vit_base_patch16_224_in21k_l2p_0_40_42.log,71.47,75.69,Complete,Match
seed42,42,L2P,OmniBenchmark,I6:J6,65.63,75.57,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/L2P/omnibenchmark_vit_base_patch16_224_in21k_l2p_0_30_42.log,65.63,75.57,Complete,Match
seed42,42,L2P,VTAB,K6:L6,64.11,79.16,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/L2P/vtab_vit_base_patch16_224_in21k_l2p_0_10_42.log,64.11,79.16,Complete,Match
seed42,42,DualPrompt,CIFAR100,C7:D7,84.97,89.09,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/DualPrompt/cifar224_vit_base_patch16_224_in21k_dualprompt_0_10_42.log,84.97,89.09,Complete,Match
seed42,42,DualPrompt,CUB200,E7:F7,74.39,83.46,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/DualPrompt/cub_vit_base_patch16_224_in21k_dualprompt_0_20_42.log,74.39,83.46,Complete,Match
seed42,42,DualPrompt,ImageNet-R,G7:H7,67.98,71.33,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/DualPrompt/imagenetr_vit_base_patch16_224_in21k_dualprompt_0_40_42.log,67.98,71.33,Complete,Match
seed42,42,DualPrompt,OmniBenchmark,I7:J7,68.02,77.4,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/DualPrompt/omnibenchmark_vit_base_patch16_224_in21k_dualprompt_0_30_42.log,68.02,77.4,Complete,Match
seed42,42,DualPrompt,VTAB,K7:L7,72.33,85.83,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/DualPrompt/vtab_vit_base_patch16_224_in21k_dualprompt_0_10_42.log,72.33,85.83,Complete,Match
seed42,42,CODA-Prompt,CIFAR100,C8:D8,87.19,91.35,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/CODA-Prompt/cifar224_vit_base_patch16_224_in21k_coda_prompt_0_10_42.log,87.19,91.35,Complete,Match
seed42,42,CODA-Prompt,CUB200,E8:F8,76,84.08,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/CODA-Prompt/cub_vit_base_patch16_224_in21k_coda_prompt_0_20_42.log,76.0,84.08,Complete,Match
seed42,42,CODA-Prompt,ImageNet-R,G8:H8,75.3,79.13,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/CODA-Prompt/imagenetr_vit_base_patch16_224_in21k_coda_prompt_0_40_42.log,75.3,79.13,Complete,Match
seed42,42,CODA-Prompt,OmniBenchmark,I8:J8,69.02,77.76,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/CODA-Prompt/omnibenchmark_vit_base_patch16_224_in21k_coda_prompt_0_30_42.log,69.02,77.76,Complete,Match
seed42,42,CODA-Prompt,VTAB,K8:L8,70.03,82.89,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/CODA-Prompt/vtab_vit_base_patch16_224_in21k_coda_prompt_0_10_42.log,70.03,82.89,Complete,Match
seed42,42,LAE,CIFAR100,C9:D9,85.01,89.67,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/LAE/cifar224_vit_base_patch16_224_in21k_lae_0_10_42.log,85.01,89.67,Complete,Match
seed42,42,LAE,CUB200,E9:F9,69.13,80.2,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/LAE/cub_vit_base_patch16_224_in21k_lae_0_20_42.log,69.13,80.2,Complete,Match
seed42,42,LAE,ImageNet-R,G9:H9,71.13,75.09,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/LAE/imagenetr_vit_base_patch16_224_in21k_lae_0_40_42.log,71.13,75.09,Complete,Match
seed42,42,LAE,OmniBenchmark,I9:J9,66.08,75.59,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/LAE/omnibenchmark_vit_base_patch16_224_in21k_lae_0_30_42.log,66.08,75.59,Complete,Match
seed42,42,LAE,VTAB,K9:L9,75.28,86.14,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/LAE/vtab_vit_base_patch16_224_in21k_lae_0_10_42.log,75.28,86.14,Complete,Match
seed42,42,InfLoRA,CIFAR100,C10:D10,87.06,91.84,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/InfLoRA/cifar224_vit_base_patch16_224_in21k_inflora_0_10_42.log,87.06,91.84,Complete,Match
seed42,42,InfLoRA,CUB200,E10:F10,51.65,69.07,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/InfLoRA/cub_vit_base_patch16_224_in21k_inflora_0_20_42.log,51.65,69.07,Complete,Match
seed42,42,InfLoRA,ImageNet-R,G10:H10,78.3,82.54,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/InfLoRA/ImageNet_R_vit_base_patch16_224_in21k_inflora_0_40_42.log,78.3,82.54,Complete,Match
seed42,42,InfLoRA,OmniBenchmark,I10:J10,69.51,79.17,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/InfLoRA/omnibenchmark_vit_base_patch16_224_in21k_inflora_0_30_42.log,69.51,79.17,Complete,Match
seed42,42,InfLoRA,VTAB,K10:L10,75.45,87.73,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/InfLoRA/vtab_vit_base_patch16_224_in21k_inflora_0_10_42.log,75.45,87.73,Complete,Match
seed42,42,EASE,CIFAR100,C11:D11,88.04,92.47,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/EASE/cifar224_vit_base_patch16_224_in21k_ease_0_10_42.log,88.04,92.47,Complete,Match
seed42,42,EASE,CUB200,E11:F11,85.28,89.89,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/EASE/cub_vit_base_patch16_224_in21k_ease_0_20_42.log,85.28,89.89,Complete,Match
seed42,42,EASE,ImageNet-R,G11:H11,76.48,80.99,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/EASE/imagenetr_vit_base_patch16_224_in21k_ease_0_40_42.log,76.48,80.99,Complete,Match
seed42,42,EASE,OmniBenchmark,I11:J11,74.04,82.78,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/EASE/omnibenchmark_vit_base_patch16_224_in21k_ease_0_30_42.log,74.04,82.78,Complete,Match
seed42,42,EASE,VTAB,K11:L11,80.23,90.72,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/EASE/vtab_vit_base_patch16_224_in21k_ease_0_10_42.log,80.23,90.72,Complete,Match
seed42,42,BiLoRA,CIFAR100,C12:D12,85.94,90.27,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/BiLoRA/cifar224_vit_base_patch16_224_in21k_bilora_0_10_42.log,85.94,90.27,Complete,Match
seed42,42,BiLoRA,CUB200,E12:F12,73.66,83.06,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/BiLoRA/cub_vit_base_patch16_224_in21k_bilora_0_20_42.log,73.66,83.06,Complete,Match
seed42,42,BiLoRA,ImageNet-R,G12:H12,76.33,79.49,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/BiLoRA/imagenet_r_vit_base_patch16_224_in21k_bilora_0_40_42.log,76.33,79.49,Complete,Match
seed42,42,BiLoRA,OmniBenchmark,I12:J12,,,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,BiLoRA,VTAB,K12:L12,,,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),,,,No matching log in method directory,Log is incomplete; cannot verify
seed42,42,SD-LoRA,CIFAR100,C13:D13,,,cifar224|0_10_42.log,T=10; B0/Inc10 (filename _0_10_42),logs/第二轮A800/SD-LoRA-IN21K/cifar224_vit_base_patch16_224_in21k_sdlora_0_10_42.log,93.6,95.87,Incomplete: 3/10 tasks,Log is incomplete; cannot verify
seed42,42,SD-LoRA,CUB200,E13:F13,74.68,83.21,cub|0_20_42.log,T=10; B0/Inc20 (filename _0_20_42),logs/第二轮A800/SD-LoRA-IN21K/cub_vit_base_patch16_224_in21k_sdlora_0_20_42.log,74.68,83.21,Complete,Match
seed42,42,SD-LoRA,ImageNet-R,G13:H13,76.27,80.23,imagenetr/imagenet_r|0_40_42.log,T=5; B0/Inc40 (filename _0_40_42),logs/第二轮A800/SD-LoRA-IN21K/imagenetr_vit_base_patch16_224_in21k_sdlora_0_40_42.log,76.27,80.23,Complete,Match
seed42,42,SD-LoRA,OmniBenchmark,I13:J13,70.83,79.97,omnibenchmark|0_30_42.log,T=10; B0/Inc30 (filename _0_30_42),logs/第二轮A800/SD-LoRA-IN21K/omnibenchmark_vit_base_patch16_224_in21k_sdlora_0_30_42.log,70.83,79.97,Complete,Match
seed42,42,SD-LoRA,VTAB,K13:L13,62.06,84.93,vtab|0_10_42.log,T=5; B0/Inc10 (filename _0_10_42),logs/第二轮A800/SD-LoRA-IN21K/vtab_vit_base_patch16_224_in21k_sdlora_0_10_42.log,62.06,84.93,Complete,Match
